epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,213.407,1.15279,0.87413,1.01771,0.83379,0.35851,0.86176,0.54001,1.37439,2.3541,1.1231,0.00149309,0.00149309,0.00149309
45,217.51,1.36175,0.86952,0.96119,0.83379,0.35851,0.86176,0.54001,1.37439,2.3541,1.1231,0.00152154,0.00152154,0.00152154
46,222.441,1.4335,0.94925,0.95385,0.83379,0.35851,0.86176,0.54001,1.37439,2.3541,1.1231,0.00154973,0.00154973,0.00154973
47,226.67,1.41762,0.98682,1.01953,0.62437,0.92857,0.83017,0.51129,1.32745,2.28149,1.08558,0.00157765,0.00157765,0.00157765
48,230.911,1.44052,1.00419,1.00479,0.62437,0.92857,0.83017,0.51129,1.32745,2.28149,1.08558,0.00160531,0.00160531,0.00160531
49,237.462,1.40311,0.88016,1.0283,0.62437,0.92857,0.83017,0.51129,1.32745,2.28149,1.08558,0.0016327,0.0016327,0.0016327
50,243.443,1.52032,0.94763,0.95865,1,0.7972,0.98567,0.61001,1.32212,1.80342,1.06278,0.00165983,0.00165983,0.00165983
51,249.426,1.21978,0.85877,0.97902,1,0.7972,0.98567,0.61001,1.32212,1.80342,1.06278,0.00167,0.00167,0.00167
52,256.984,1.55032,0.93454,0.98861,1,0.7972,0.98567,0.61001,1.32212,1.80342,1.06278,0.0016634,0.0016634,0.0016634
53,261.725,1.23166,0.84798,0.97256,0.90846,1,0.981,0.59307,1.38429,1.66491,1.10702,0.0016568,0.0016568,0.0016568
54,265.85,1.19708,0.91674,0.98608,0.90846,1,0.981,0.59307,1.38429,1.66491,1.10702,0.0016502,0.0016502,0.0016502
55,269.634,1.33355,0.82515,0.9531,0.90846,1,0.981,0.59307,1.38429,1.66491,1.10702,0.0016436,0.0016436,0.0016436
