epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01785,2.12804,3.90811,1.59581,0,0,0,0,2.46287,3.87874,1.80842,2e-05,2e-05,2e-05
2,9.85562,2.31026,3.93085,1.55758,0,0,0,0,2.08633,3.83801,1.60234,5.9406e-05,5.9406e-05,5.9406e-05
3,14.9232,2.30154,3.75765,1.50509,0.005,0.21429,0.00114,0.00044,1.81357,3.72934,1.39541,9.802e-05,9.802e-05,9.802e-05
4,20.3658,2.01367,3.51735,1.27949,0.02167,0.92857,0.04467,0.01771,1.69898,3.56051,1.252,0.000135842,0.000135842,0.000135842
5,25.327,2.14278,3.22187,1.25716,0.02333,1,0.0643,0.02658,1.5628,3.42823,1.15648,0.000172872,0.000172872,0.000172872
6,30.2252,1.96598,2.83935,1.16556,0.02333,1,0.06729,0.03145,1.46773,3.37866,1.12808,0.00020911,0.00020911,0.00020911
7,35.2433,1.76557,2.42764,1.16144,0.02333,1,0.07489,0.04043,1.33408,3.29479,1.06753,0.000244556,0.000244556,0.000244556
8,40.6612,1.95358,2.01799,1.09934,0.02333,1,0.0737,0.03825,1.31951,3.23804,1.06272,0.00027921,0.00027921,0.00027921
9,44.8211,1.86881,1.88247,1.08983,0.02333,1,0.0718,0.03693,1.32444,3.14529,1.06601,0.000313072,0.000313072,0.000313072
10,49.3472,1.81501,1.59457,1.13254,0.02333,1,0.08146,0.04494,1.34974,3.0365,1.0635,0.000346142,0.000346142,0.000346142
11,54.6863,1.6666,1.50073,1.10305,0.02333,1,0.08292,0.04361,1.41968,2.98548,1.07253,0.00037842,0.00037842,0.00037842
12,59.1796,1.59077,1.63679,1.08506,0.02333,1,0.09045,0.0445,1.42832,3.00248,1.07001,0.000409906,0.000409906,0.000409906
13,63.3791,1.66799,1.5001,1.08806,0.02333,1,0.08816,0.0447,1.39868,3.00893,1.04113,0.0004406,0.0004406,0.0004406
14,68.2303,1.78102,1.31635,1.05351,0.02333,1,0.08987,0.04523,1.35312,3.01745,1.05023,0.000470502,0.000470502,0.000470502
15,73.5949,1.53687,1.28665,1.06223,0.02333,1,0.08987,0.04523,1.35312,3.01745,1.05023,0.000499612,0.000499612,0.000499612
16,78.3044,2.00478,1.30143,1.04934,0.02333,1,0.11417,0.0661,1.35601,2.93653,1.0475,0.00052793,0.00052793,0.00052793
17,82.2664,1.49344,1.21742,1.06095,0.02333,1,0.09407,0.0499,1.42534,2.87361,1.08002,0.000555456,0.000555456,0.000555456
18,86.3469,1.41246,1.0434,1.01816,0.02333,1,0.09407,0.0499,1.42534,2.87361,1.08002,0.00058219,0.00058219,0.00058219
19,91.5592,1.58109,1.13862,1.05074,0.02333,1,0.07612,0.03716,1.43768,2.8805,1.0886,0.000608132,0.000608132,0.000608132
